,state,zip,returnsCount,returnsSingleCount,returnsJointCount,returnsHOHCount,totalIncome,standardDeductionReturnsCount,childDeductionCount
7260,IN,47541,0.0,400.0,390.0,1170.0,160.0,0.0,13.0
7261,IN,47542,160.0,3110.0,3340.0,9370.0,1100.0,4984.0,95.0
7262,IN,47546,310.0,7200.0,7420.0,20990.0,3670.0,24827.0,212.0
7263,IN,47550,0.0,260.0,240.0,720.0,70.0,0.0,5.0
7264,IN,47551,0.0,200.0,190.0,530.0,50.0,0.0,0.0
7265,IN,47553,90.0,2450.0,2310.0,8040.0,740.0,2610.0,68.0
7266,IN,47557,0.0,360.0,420.0,1250.0,110.0,0.0,7.0
7267,IN,47558,30.0,1750.0,570.0,4870.0,480.0,1857.0,25.0
7268,IN,47561,0.0,440.0,410.0,1300.0,120.0,0.0,8.0
7269,IN,47562,60.0,1480.0,900.0,4680.0,420.0,1993.0,27.0
7270,IN,47564,0.0,410.0,410.0,1260.0,140.0,0.0,11.0
7271,IN,47567,90.0,1510.0,1870.0,5150.0,410.0,1849.0,33.0
7272,IN,47568,0.0,230.0,190.0,810.0,70.0,0.0,5.0
7273,IN,47575,20.0,400.0,350.0,1050.0,180.0,0.0,12.0
7274,IN,47576,0.0,110.0,120.0,330.0,0.0,0.0,0.0
7275,IN,47577,0.0,340.0,300.0,860.0,110.0,0.0,11.0
7276,IN,47578,0.0,220.0,250.0,670.0,50.0,0.0,5.0
7277,IN,47579,30.0,840.0,880.0,2690.0,360.0,2497.0,16.0
7278,IN,47580,0.0,100.0,80.0,290.0,40.0,0.0,0.0
7279,IN,47581,40.0,860.0,1070.0,3100.0,210.0,602.0,26.0
7280,IN,47585,0.0,130.0,130.0,410.0,30.0,0.0,0.0
7281,IN,47586,140.0,3310.0,3820.0,9960.0,910.0,3133.0,93.0
7282,IN,47588,0.0,200.0,210.0,550.0,40.0,0.0,3.0
7283,IN,47590,0.0,270.0,250.0,710.0,70.0,0.0,7.0
7284,IN,47591,290.0,5950.0,7960.0,20890.0,1900.0,13776.0,143.0
7285,IN,47597,0.0,290.0,280.0,960.0,70.0,0.0,5.0
7286,IN,47598,70.0,820.0,1070.0,2820.0,170.0,0.0,27.0
7287,IN,47601,150.0,3390.0,4490.0,12710.0,1080.0,7529.0,94.0
7288,IN,47610,50.0,1280.0,1900.0,5050.0,340.0,2992.0,45.0
7289,IN,47611,0.0,330.0,360.0,1030.0,70.0,0.0,12.0
7290,IN,47612,20.0,230.0,290.0,810.0,70.0,0.0,5.0
7291,IN,47613,40.0,700.0,860.0,2590.0,290.0,1730.0,16.0
7292,IN,47615,0.0,460.0,530.0,1410.0,70.0,0.0,16.0
7293,IN,47616,0.0,80.0,90.0,240.0,0.0,0.0,0.0
7294,IN,47619,0.0,410.0,500.0,1500.0,130.0,0.0,10.0
7295,IN,47620,140.0,3290.0,4210.0,11770.0,1400.0,7884.0,72.0
7296,IN,47630,430.0,9240.0,11810.0,36330.0,4820.0,58018.0,198.0
7297,IN,47631,0.0,530.0,580.0,1670.0,230.0,992.0,12.0
7298,IN,47633,50.0,720.0,790.0,2420.0,280.0,927.0,10.0
7299,IN,47634,0.0,670.0,720.0,1990.0,100.0,0.0,15.0
7300,IN,47635,40.0,1610.0,1640.0,4810.0,360.0,2453.0,35.0
7301,IN,47637,20.0,380.0,500.0,1380.0,70.0,0.0,11.0
7302,IN,47638,40.0,950.0,1120.0,3580.0,410.0,1829.0,21.0
7303,IN,47639,60.0,1480.0,1390.0,4660.0,830.0,4460.0,21.0
7304,IN,47640,0.0,260.0,310.0,850.0,60.0,0.0,4.0
7305,IN,47648,60.0,1220.0,1520.0,4210.0,510.0,2272.0,25.0
7306,IN,47649,0.0,400.0,450.0,1290.0,120.0,0.0,11.0
7307,IN,47660,50.0,1230.0,1520.0,4160.0,320.0,970.0,32.0
7308,IN,47665,30.0,1000.0,1220.0,3530.0,290.0,1173.0,23.0
7309,IN,47666,0.0,450.0,480.0,1320.0,130.0,0.0,11.0
7310,IN,47670,160.0,3230.0,4200.0,10850.0,880.0,5127.0,79.0
7311,IN,47708,0.0,150.0,240.0,450.0,60.0,1428.0,0.0
7312,IN,47710,180.0,3710.0,6210.0,14420.0,960.0,6645.0,135.0
7313,IN,47711,320.0,7380.0,11040.0,27400.0,2540.0,14986.0,248.0
7314,IN,47712,280.0,5370.0,8050.0,19760.0,2160.0,14612.0,154.0
7315,IN,47713,80.0,1850.0,3500.0,7770.0,240.0,2501.0,76.0
7316,IN,47714,340.0,7240.0,11780.0,26870.0,1660.0,13441.0,248.0
7317,IN,47715,330.0,7090.0,10200.0,24650.0,2750.0,25187.0,210.0
7318,IN,47720,210.0,4420.0,5420.0,15650.0,2120.0,14581.0,100.0
7319,IN,47725,200.0,5130.0,5830.0,19200.0,2800.0,33799.0,81.0
7320,IN,47802,270.0,8610.0,10850.0,27300.0,2390.0,23633.0,209.0
7321,IN,47803,200.0,5890.0,7290.0,17880.0,1920.0,18134.0,130.0
7322,IN,47804,100.0,2430.0,3490.0,8050.0,340.0,1875.0,90.0
7323,IN,47805,120.0,3840.0,4720.0,11860.0,860.0,6736.0,92.0
7324,IN,47807,70.0,1940.0,3300.0,6930.0,150.0,2365.0,64.0
7325,IN,47832,0.0,270.0,290.0,850.0,60.0,0.0,7.0
7326,IN,47833,0.0,290.0,330.0,950.0,40.0,0.0,9.0
